elapsed_time,id,time,alt,lat,lng,pressure,ohm,hum,co2,temp,rssi
0:14:46,1746,14:35:28,8192.30,69.454262,16.006578,33063.00,204347.81,4.9531,142.70,-0.7207,-131
0:14:48,1747,14:35:30,8207.50,69.454536,16.006357,33009.30,195637.61,4.9063,143.35,-0.7632,-119
0:14:51,1748,14:35:32,8216.90,69.454857,16.006258,32958.35,195637.61,4.9063,143.35,-0.7632,-119
0:14:53,1749,14:35:34,8226.60,69.455124,16.006050,32906.05,195637.61,4.9375,143.22,-0.8062,-124
0:14:55,1750,14:35:36,8234.20,69.455421,16.005888,32857.95,195637.61,5.0000,143.54,-0.8325,-119
0:14:59,1752,14:35:41,8262.20,69.456161,16.005421,32738.65,195637.61,5.0898,143.48,-0.8623,-126
0:15:2,1753,14:35:43,8272.20,69.456467,16.005188,32672.71,195637.61,5.0742,143.15,-0.9316,-127
0:15:4,1754,14:35:45,8282.20,69.456802,16.005070,32628.35,195637.61,5.0859,142.83,-1.0166,-132
0:15:6,1755,14:35:47,8292.90,69.457077,16.004835,32580.33,195637.61,5.0859,142.83,-1.0166,-118
0:15:8,1756,14:35:49,8301.40,69.457397,16.004730,32529.91,195637.61,5.1016,142.62,-1.0303,-119
0:15:10,1757,14:35:52,8309.70,69.457809,16.004435,32473.84,195637.61,5.1484,143.42,-1.0869,-120
0:15:12,1758,14:35:54,8325.70,69.458076,16.004190,32423.22,187624.42,5.1484,143.42,-1.0869,-114
0:15:15,1759,14:35:56,8335.10,69.458405,16.004059,32375.39,187624.42,5.1484,143.42,-1.0869,-130
0:15:17,1760,14:35:58,8345.40,69.458656,16.003862,32318.68,187624.42,5.3633,143.75,-1.2012,-125
0:15:19,1761,14:36:0,8354.90,69.458939,16.003708,32262.09,195637.61,5.3281,143.10,-1.2305,-120
0:15:21,1762,14:36:2,8365.90,69.459251,16.003609,32214.89,195637.61,5.3281,143.10,-1.2305,-124
0:15:23,1763,14:36:5,8377.30,69.459641,16.003416,32172.80,195637.61,5.3281,142.86,-1.2734,-126
0:15:28,1765,14:36:9,8398.60,69.460197,16.003189,32053.46,204347.81,5.3867,142.96,-1.3457,-128
0:15:30,1766,14:36:11,8410.10,69.460426,16.003061,32003.94,204347.81,5.3711,143.17,-1.3721,-127
0:15:32,1767,14:36:13,8419.40,69.460716,16.002998,31966.91,204347.81,5.4336,142.47,-1.4014,-131
0:15:34,1768,14:36:15,8427.00,69.460938,16.002831,31909.66,204347.81,5.4492,142.52,-1.4580,-127
0:15:36,1769,14:36:18,8444.70,69.461327,16.002680,31846.84,195637.61,5.4492,142.52,-1.4580,-131
0:15:39,1770,14:36:20,8453.80,69.461617,16.002617,31801.50,204347.81,5.5234,142.57,-1.5000,-128
0:15:43,1772,14:36:24,8472.20,69.462112,16.002436,31687.95,195637.61,5.5664,141.99,-1.5693,-119
0:15:45,1773,14:36:26,8482.30,69.462357,16.002386,31638.89,195637.61,5.5352,141.77,-1.6123,-126
0:15:49,1775,14:36:31,8507.40,69.462944,16.002230,31555.37,187624.42,5.5938,141.30,-1.7109,-131
0:15:52,1776,14:36:33,8518.10,69.463196,16.002151,31502.82,187624.42,5.5938,141.30,-1.7109,-119
0:15:54,1777,14:36:35,8529.40,69.463448,16.001976,31448.05,187624.42,5.5820,141.26,-1.7246,-126
0:15:58,1779,14:36:39,8546.70,69.463928,16.001806,31346.54,187624.42,5.6250,140.03,-1.8105,-128
0:16:5,1782,14:36:46,8580.90,69.464851,16.001467,31197.99,187624.42,5.5898,139.55,-1.9219,-120
0:16:7,1783,14:36:48,8590.80,69.465096,16.001373,31144.29,195637.61,5.5898,139.55,-1.9219,-120
0:16:16,1787,14:36:57,8638.50,69.466270,16.001120,30943.59,195637.61,5.6367,138.50,-2.0645,-129
0:16:22,1790,14:37:3,8666.60,69.467033,16.000711,30807.27,195637.61,5.6367,137.79,-2.1621,-126
0:16:24,1791,14:37:6,8678.50,69.467422,16.000542,30760.63,204347.81,5.6797,137.69,-2.1328,-131
0:16:26,1792,14:37:8,8693.60,69.467682,16.000494,30704.55,204347.81,5.7461,137.30,-2.1777,-127
0:16:31,1794,14:37:12,8715.00,69.468216,16.000051,30600.25,213850.02,5.7266,136.82,-2.2637,-126
0:16:40,1798,14:37:21,8756.80,69.469398,15.998962,30398.98,224257.33,5.6484,136.51,-2.3496,-125
0:16:42,1799,14:37:23,8768.80,69.469688,15.998616,30342.34,224257.33,5.6445,136.30,-2.4063,-132
0:16:44,1800,14:37:25,8781.50,69.469933,15.998457,30280.15,224257.33,5.6289,135.78,-2.4180,-129
0:16:46,1801,14:37:27,8792.60,69.470215,15.998148,30231.69,235705.48,5.6289,135.44,-2.4492,-129
0:16:48,1802,14:37:30,8803.80,69.470543,15.997825,30162.14,235705.48,5.6445,134.33,-2.5313,-129
0:16:50,1803,14:37:32,8822.50,69.470711,15.997695,30114.41,235705.48,5.6445,134.33,-2.5313,-131
0:16:53,1804,14:37:34,8834.10,69.470955,15.997476,30060.87,235705.48,5.5508,133.63,-2.5879,-124
0:16:55,1805,14:37:36,8842.80,69.471123,15.997268,30021.31,224257.33,5.5977,132.79,-2.6309,-133
0:16:57,1806,14:37:38,8851.30,69.471367,15.997103,29969.50,224257.33,5.5508,132.20,-2.6426,-128
0:16:59,1807,14:37:40,8860.60,69.471558,15.996887,29920.52,224257.33,5.5195,130.23,-2.6719,-124
0:17:6,1810,14:37:47,8892.10,69.472275,15.996171,29792.27,204347.81,5.2539,131.67,-2.7578,-125
0:17:8,1811,14:37:49,8901.50,69.472466,15.995959,29734.89,204347.81,5.2539,131.67,-2.7578,-120
0:17:10,1812,14:37:51,8911.70,69.472656,15.995842,29692.23,195637.61,5.1289,130.61,-2.7578,-118
0:17:12,1813,14:37:53,8920.70,69.472839,15.995522,29647.99,195637.61,5.0625,127.92,-2.7852,-121
0:17:14,1814,14:37:56,8933.70,69.473137,15.995224,29593.07,195637.61,4.9727,126.45,-2.8008,-120
0:17:17,1815,14:37:58,8943.90,69.473282,15.995056,29548.35,204347.81,4.8750,126.30,-2.8574,-124
0:17:21,1817,14:38:2,8963.90,69.473640,15.994544,29446.60,213850.02,4.8125,127.40,-2.9395,-120
0:17:23,1818,14:38:4,8972.80,69.473869,15.994226,29396.95,224257.33,4.8008,127.65,-2.9980,-118
0:17:25,1819,14:38:7,8983.00,69.474144,15.993839,29348.19,213850.02,4.7188,126.17,-3.0117,-116
0:17:27,1820,14:38:9,8998.10,69.474297,15.993575,29302.21,224257.33,4.7148,125.94,-3.0938,-118
0:17:30,1821,14:38:11,9006.40,69.474518,15.993208,29261.11,224257.33,4.7773,124.93,-3.1367,-116
0:17:32,1822,14:38:13,9014.20,69.474678,15.992908,29217.80,224257.33,4.7617,123.93,-3.1934,-119
0:17:34,1823,14:38:15,9023.80,69.474892,15.992542,29172.32,224257.33,4.7930,122.38,-3.2363,-120
0:17:36,1824,14:38:17,9034.00,69.475090,15.992167,29128.20,235705.48,4.7930,122.38,-3.2363,-132
0:17:38,1825,14:38:20,9046.90,69.475365,15.991661,29084.48,235705.48,4.8555,121.34,-3.2813,-125
0:17:41,1826,14:38:22,9057.50,69.475594,15.991332,29041.21,235705.48,4.8867,120.26,-3.3379,-125
0:17:43,1827,14:38:24,9066.70,69.475815,15.991006,28992.56,235705.48,4.9180,119.57,-3.3945,-118
0:17:45,1828,14:38:26,9077.60,69.475998,15.990675,28947.99,235705.48,4.8867,118.04,-3.4238,-133
0:17:47,1829,14:38:28,9088.50,69.476219,15.990376,28909.77,224257.33,4.8203,117.00,-3.4531,-116
0:17:49,1830,14:38:31,9095.50,69.476517,15.989883,28868.11,224257.33,4.7891,115.22,-3.5215,-120
0:17:51,1831,14:38:33,9109.50,69.476692,15.989509,28813.14,213850.02,4.7891,115.22,-3.5215,-129
0:17:54,1832,14:38:35,9119.50,69.476898,15.989300,28766.21,213850.02,4.6953,114.64,-3.5508,-120
0:17:56,1833,14:38:37,9127.00,69.477058,15.988937,28730.11,204347.81,4.6797,114.19,-3.6074,-115
0:17:58,1834,14:38:39,9135.70,69.477264,15.988771,28690.66,204347.81,4.7109,113.81,-3.6348,-126
0:18:2,1836,14:38:44,9154.30,69.477745,15.987996,28598.44,195637.61,4.7422,113.31,-3.6895,-118
0:18:4,1837,14:38:46,9169.90,69.477966,15.987759,28554.42,187624.42,4.7070,112.47,-3.7051,-118
0:18:7,1838,14:38:48,9179.20,69.478142,15.987360,28512.55,187624.42,4.7070,112.47,-3.7051,-118
0:18:9,1839,14:38:50,9189.40,69.478355,15.987037,28461.70,180227.00,4.7070,112.35,-3.7324,-118
0:18:11,1840,14:38:52,9201.00,69.478561,15.986727,28421.24,180227.00,4.6953,111.34,-3.7754,-118
0:18:13,1841,14:38:54,9212.10,69.478737,15.986320,28379.57,180227.00,4.6289,110.97,-3.8047,-120
0:18:15,1842,14:38:57,9225.30,69.479042,15.985844,28336.46,180227.00,4.5977,110.36,-3.8184,-116
0:18:22,1845,14:39:3,9257.10,69.479645,15.984877,28207.14,180227.00,4.4414,110.13,-3.9297,-120
0:18:24,1846,14:39:5,9266.30,69.479843,15.984455,28162.16,180227.00,4.3750,109.79,-3.9727,-118
0:18:28,1848,14:39:10,9292.50,69.480354,15.983674,28066.92,187624.42,4.4063,109.68,-4.0156,-126
0:18:31,1849,14:39:12,9302.80,69.480553,15.983222,28018.51,187624.42,4.4219,109.81,-4.0430,-116
0:18:33,1850,14:39:14,9311.10,69.480743,15.982953,27973.24,195637.61,4.3906,109.01,-4.0859,-116
0:18:35,1851,14:39:16,9321.80,69.480965,15.982579,27924.17,195637.61,4.4492,108.54,-4.1289,-118
0:18:39,1853,14:39:21,9343.10,69.481506,15.981838,27843.07,204347.81,4.5313,108.14,-4.1563,-124
0:18:41,1854,14:39:23,9358.50,69.481735,15.981462,27799.26,204347.81,4.5430,108.26,-4.2266,-125
0:18:44,1855,14:39:25,9368.60,69.481956,15.981134,27747.94,213850.02,4.5742,108.49,-4.2578,-123
0:18:46,1856,14:39:27,9379.00,69.482170,15.980863,27694.82,213850.02,4.6328,107.87,-4.2969,-120
0:18:50,1858,14:39:32,9400.50,69.482697,15.980209,27604.47,204347.81,4.6328,106.59,-4.3125,-127
0:18:52,1859,14:39:34,9414.50,69.482864,15.980043,27560.84,213850.02,4.6328,106.64,-4.3828,-127
0:18:55,1860,14:39:36,9425.30,69.483078,15.979711,27511.19,213850.02,4.6055,106.44,-4.3672,-120
0:18:59,1862,14:39:40,9445.90,69.483437,15.979161,27420.46,213850.02,4.5547,106.68,-4.4961,-118
0:19:1,1863,14:39:42,9455.30,69.483604,15.979013,27378.52,213850.02,4.6172,105.63,-4.5273,-128
0:19:3,1864,14:39:45,9465.10,69.483887,15.978613,27327.98,224257.33,4.6641,105.14,-4.5547,-126
0:19:5,1865,14:39:47,9482.10,69.484100,15.978336,27289.53,224257.33,4.6641,105.14,-4.5547,-118
0:19:8,1866,14:39:49,9491.50,69.484238,15.978163,27246.91,224257.33,4.7109,105.29,-4.5547,-118
0:19:10,1867,14:39:51,9503.10,69.484444,15.977881,27204.31,224257.33,4.8047,105.14,-4.6094,-120
0:19:12,1868,14:39:53,9514.30,69.484627,15.977608,27151.62,213850.02,4.8516,104.33,-4.6094,-118
0:19:14,1869,14:39:55,9525.00,69.484795,15.977347,27105.63,213850.02,4.8047,103.58,-4.6367,-119
0:19:16,1870,14:39:58,9540.20,69.485100,15.976886,27069.86,213850.02,4.8203,103.20,-4.6953,-123
0:19:19,1871,14:40:0,9551.20,69.485291,15.976598,27016.80,213850.02,4.8789,103.20,-4.6953,-121
0:19:21,1872,14:40:2,9562.70,69.485474,15.976316,26972.75,213850.02,4.8008,102.91,-4.7500,-119
0:19:25,1874,14:40:6,9584.80,69.485832,15.975732,26888.29,213850.02,4.8320,102.58,-4.7813,-125
0:19:29,1876,14:40:11,9609.80,69.486244,15.974866,26785.58,213850.02,4.7227,102.10,-4.8477,-118
0:19:32,1877,14:40:13,9620.50,69.486382,15.974571,26746.32,213850.02,4.7227,101.92,-4.8633,-119
0:19:36,1879,14:40:17,9641.50,69.486725,15.973873,26664.25,213850.02,4.7383,101.33,-4.8906,-120
0:19:38,1880,14:40:19,9650.00,69.486938,15.973490,26614.23,213850.02,4.8008,101.74,-4.9219,-130
0:19:40,1881,14:40:22,9660.80,69.487190,15.973001,26570.95,213850.02,4.7344,101.71,-4.9492,-119
0:19:42,1882,14:40:24,9679.10,69.487328,15.972672,26531.41,213850.02,4.8164,101.18,-5.0078,-128
0:19:45,1883,14:40:26,9687.30,69.487541,15.972293,26492.76,204347.81,4.7500,101.77,-4.9766,-128
0:19:47,1884,14:40:28,9696.30,69.487679,15.971970,26430.42,204347.81,4.7500,102.09,-5.0469,-119
0:19:49,1885,14:40:30,9707.10,69.487862,15.971661,26388.46,204347.81,4.7500,101.58,-5.0313,-127
0:19:53,1887,14:40:35,9732.00,69.488251,15.970864,26297.20,195637.61,4.7813,102.15,-5.1055,-124
0:19:56,1888,14:40:37,9740.30,69.488441,15.970531,26262.92,195637.61,4.7969,101.31,-5.1055,-129
0:19:58,1889,14:40:39,9751.30,69.488564,15.970181,26212.75,187624.42,4.7656,100.53,-5.1445,-119
0:20:0,1890,14:40:41,9759.70,69.488701,15.969791,26164.71,187624.42,4.7930,99.81,-5.1602,-125
0:20:6,1893,14:40:48,9795.60,69.489105,15.968631,26038.41,195637.61,4.7305,100.08,-5.2188,-132
0:20:9,1894,14:40:50,9805.70,69.489227,15.968234,25994.90,195637.61,4.7305,99.72,-5.2461,-134
0:20:11,1895,14:40:52,9815.30,69.489334,15.968016,25954.61,195637.61,4.7930,99.56,-5.2617,-131
0:20:13,1896,14:40:54,9825.70,69.489464,15.967644,25914.18,195637.61,4.8555,99.56,-5.2734,-123
0:20:15,1897,14:40:56,9836.40,69.489609,15.967455,25867.57,195637.61,4.9180,99.36,-5.3008,-118
0:20:17,1898,14:40:59,9851.60,69.489845,15.966977,25833.93,195637.61,4.9805,98.83,-5.3281,-124
0:20:19,1899,14:41:1,9863.60,69.490013,15.966565,25783.91,204347.81,4.9805,98.38,-5.3438,-120
0:20:22,1900,14:41:3,9873.40,69.490181,15.966381,25743.32,204347.81,4.9961,98.35,-5.3711,-118
0:20:24,1901,14:41:5,9883.20,69.490356,15.966033,25703.40,204347.81,5.0430,98.69,-5.4297,-119
0:20:26,1902,14:41:7,9891.90,69.490532,15.965864,25666.03,204347.81,5.1211,98.40,-5.4297,-120
0:20:28,1903,14:41:10,9901.90,69.490807,15.965364,25616.79,204347.81,5.1641,98.31,-5.4727,-114
0:20:33,1905,14:41:14,9924.00,69.491142,15.964728,25549.97,213850.02,5.1953,97.54,-5.4453,-118
0:20:35,1906,14:41:16,9933.60,69.491364,15.964351,25507.10,213850.02,5.1953,97.54,-5.4453,-119
0:20:37,1907,14:41:18,9940.80,69.491516,15.964127,25463.52,213850.02,5.2461,97.32,-5.5000,-118
0:20:39,1908,14:41:20,9950.50,69.491722,15.963747,25422.90,213850.02,5.1953,96.93,-5.5156,-119
0:20:41,1909,14:41:23,9962.20,69.492020,15.963242,25390.95,213850.02,5.1953,96.73,-5.5430,-114
0:20:43,1910,14:41:25,9976.90,69.492172,15.962993,25345.57,213850.02,5.1836,96.88,-5.5586,-118
0:20:48,1912,14:41:29,9996.70,69.492584,15.962232,25268.37,224257.33,5.1797,97.01,-5.5977,-119
0:20:50,1913,14:41:31,10006.70,69.492783,15.961916,25230.43,213850.02,5.1797,97.01,-5.5977,-127
0:20:52,1914,14:41:33,10016.70,69.492981,15.961432,25196.19,213850.02,5.1914,96.83,-5.5977,-120
0:20:54,1915,14:41:36,10029.30,69.493210,15.960834,25160.13,224257.33,5.1641,96.73,-5.5977,-119
0:20:57,1916,14:41:38,10038.30,69.493370,15.960399,25118.49,224257.33,5.1797,97.20,-5.6289,-128
0:20:59,1917,14:41:40,10047.30,69.493553,15.959883,25078.20,224257.33,5.2266,97.22,-5.6563,-127
0:21:1,1918,14:41:42,10057.40,69.493698,15.959500,25036.23,213850.02,5.2578,97.16,-5.6719,-131
0:21:3,1919,14:41:44,10066.30,69.493904,15.958993,25003.14,213850.02,5.2734,97.32,-5.6719,-118
0:21:5,1920,14:41:47,10075.40,69.494156,15.958272,24966.82,213850.02,5.2734,97.32,-5.6719,-114
0:21:7,1921,14:41:49,10088.30,69.494316,15.957782,24921.50,213850.02,5.3008,97.48,-5.7148,-129
0:21:10,1922,14:41:51,10097.30,69.494530,15.957305,24894.53,213850.02,5.2891,97.25,-5.7422,-131
0:21:12,1923,14:41:53,10107.50,69.494690,15.956725,24858.30,204347.81,5.2695,97.60,-5.7539,-116
0:21:14,1924,14:41:55,10114.70,69.494911,15.956229,24821.61,204347.81,5.2891,97.99,-5.7539,-115
0:21:16,1925,14:41:57,10124.30,69.495056,15.955638,24778.79,195637.61,5.2422,97.77,-5.7695,-130
0:21:18,1926,14:42:0,10131.50,69.495300,15.954874,24743.74,195637.61,5.2422,97.64,-5.7969,-126
0:21:23,1928,14:42:4,10158.90,69.495644,15.953833,24669.71,187624.42,5.2383,96.88,-5.8398,-127
0:21:25,1929,14:42:6,10168.70,69.495819,15.953420,24626.94,195637.61,5.2539,96.56,-5.8516,-130
0:21:27,1930,14:42:8,10177.20,69.495979,15.952874,24585.96,187624.42,5.2539,96.72,-5.8945,-119
0:21:29,1931,14:42:10,10186.90,69.496147,15.952360,24553.18,195637.61,5.3477,96.74,-5.8945,-115
0:21:31,1932,14:42:13,10200.00,69.496376,15.951674,24520.50,195637.61,5.3008,96.52,-5.8828,-120
0:21:34,1933,14:42:15,10208.80,69.496559,15.951047,24478.94,195637.61,5.3008,96.52,-5.8828,-130
0:21:36,1934,14:42:17,10216.50,69.496689,15.950520,24439.80,195637.61,5.3164,96.33,-5.9102,-115
0:21:38,1935,14:42:19,10226.60,69.496834,15.949979,24396.37,195637.61,5.2695,95.50,-5.9102,-116
0:21:40,1936,14:42:21,10235.90,69.497025,15.949393,24360.40,195637.61,5.3164,95.12,-5.9375,-118
0:21:42,1937,14:42:24,10249.90,69.497253,15.948696,24321.79,204347.81,5.1875,95.05,-5.9531,-118
0:21:44,1938,14:42:26,10261.00,69.497421,15.948238,24291.43,195637.61,5.1758,94.56,-5.9805,-129
0:21:47,1939,14:42:28,10271.60,69.497574,15.947797,24250.44,195637.61,5.1602,94.38,-5.9961,-124
0:21:49,1940,14:42:30,10282.00,69.497704,15.947388,24208.29,204347.81,5.1602,94.38,-5.9961,-124
0:21:51,1941,14:42:32,10292.90,69.497887,15.946975,24166.08,195637.61,5.0820,93.60,-6.0234,-118
0:21:53,1942,14:42:34,10303.40,69.498009,15.946512,24133.23,195637.61,5.0938,93.66,-6.0664,-116
0:21:55,1943,14:42:37,10311.20,69.498238,15.945869,24102.01,195637.61,5.0625,93.37,-6.0781,-120
0:21:58,1944,14:42:39,10320.40,69.498413,15.945496,24047.70,187624.42,5.0938,93.36,-6.1094,-129
0:22:2,1946,14:42:43,10345.30,69.498711,15.944749,23974.36,187624.42,5.1289,93.10,-6.1211,-125
0:22:4,1947,14:42:45,10356.60,69.498848,15.944361,23942.10,180227.00,5.1250,92.80,-6.1484,-119
0:22:6,1948,14:42:48,10366.50,69.499069,15.943857,23901.83,180227.00,5.1875,92.26,-6.1367,-120
0:22:8,1949,14:42:50,10382.30,69.499222,15.943621,23856.90,187624.42,5.1563,92.10,-6.1641,-127
0:22:11,1950,14:42:52,10393.40,69.499359,15.943219,23819.61,180227.00,5.1367,91.76,-6.2070,-129
0:22:13,1951,14:42:54,10403.80,69.499496,15.943030,23773.78,180227.00,5.0938,91.49,-6.1914,-120
0:22:17,1953,14:42:58,10422.70,69.499779,15.942477,23694.39,173377.80,5.0781,91.33,-6.2070,-126
0:22:21,1955,14:43:3,10450.20,69.500183,15.941699,23617.89,173377.80,5.0117,90.93,-6.2656,-126
0:22:30,1959,14:43:11,10493.40,69.500786,15.940408,23446.75,173377.80,4.9492,90.59,-6.3906,-134
0:22:32,1960,14:43:14,10507.80,69.500954,15.940040,23405.54,173377.80,4.9492,90.59,-6.3906,-118
0:22:35,1961,14:43:16,10518.10,69.501137,15.939748,23373.13,173377.80,4.9023,90.36,-6.3906,-121
0:22:37,1962,14:43:18,10528.70,69.501297,15.939470,23332.88,173377.80,4.9336,90.27,-6.4023,-116
0:22:41,1964,14:43:22,10550.90,69.501602,15.938835,23259.46,180227.00,4.9805,90.07,-6.4609,-119
0:22:43,1965,14:43:25,10560.90,69.501823,15.938334,23228.03,187624.42,4.9805,90.03,-6.4766,-118
0:22:45,1966,14:43:27,10574.00,69.501945,15.938002,23184.38,180227.00,5.0078,90.28,-6.4883,-121
0:22:48,1967,14:43:29,10585.30,69.502121,15.937560,23150.32,187624.42,5.0078,90.28,-6.4883,-120
0:22:50,1968,14:43:31,10595.40,69.502251,15.937265,23115.05,187624.42,5.0391,90.13,-6.5000,-118
0:22:54,1970,14:43:35,10613.90,69.502594,15.936565,23038.43,187624.42,5.0703,90.02,-6.5313,-120
0:22:56,1971,14:43:38,10622.50,69.502853,15.936039,23003.05,187624.42,5.0703,89.56,-6.5430,-120
0:22:58,1972,14:43:40,10643.60,69.503036,15.935649,22971.62,187624.42,5.0703,89.02,-6.6211,-118
0:23:1,1973,14:43:42,10652.70,69.503197,15.935448,22940.61,187624.42,5.0703,89.02,-6.6211,-129
0:23:3,1974,14:43:44,10662.30,69.503387,15.935049,22905.35,187624.42,5.0547,88.54,-6.6211,-120
0:23:7,1976,14:43:49,10683.60,69.503830,15.934307,22821.61,187624.42,4.9609,88.13,-6.6602,-120
0:23:9,1977,14:43:51,10700.20,69.504021,15.933878,22790.33,195637.61,4.8984,87.81,-6.6445,-115
0:23:12,1978,14:43:53,10709.10,69.504158,15.933626,22754.86,195637.61,4.9297,87.46,-6.6875,-116
0:23:14,1979,14:43:55,10717.80,69.504364,15.933177,22720.39,195637.61,4.8945,87.10,-6.7031,-118
0:23:16,1980,14:43:57,10725.20,69.504517,15.932869,22675.50,204347.81,4.8945,87.10,-6.7031,-116
0:23:18,1981,14:43:59,10734.60,69.504684,15.932450,22648.15,195637.61,4.9297,86.80,-6.7188,-118
0:23:20,1982,14:44:2,10744.00,69.504967,15.931796,22615.37,195637.61,4.9102,86.01,-6.7461,-133
0:23:22,1983,14:44:4,10758.30,69.505089,15.931459,22588.38,187624.42,4.8828,85.68,-6.7578,-127
0:23:25,1984,14:44:6,10767.80,69.505272,15.931083,22551.49,187624.42,4.8359,85.64,-6.7734,-125
0:23:27,1985,14:44:8,10777.00,69.505432,15.930736,22510.38,187624.42,4.8477,85.29,-6.7891,-125
0:23:29,1986,14:44:10,10785.40,69.505569,15.930420,22472.22,187624.42,4.8477,85.29,-6.7891,-120
0:23:31,1987,14:44:12,10797.40,69.505730,15.930082,22429.77,187624.42,4.8164,84.66,-6.8008,-125
0:23:33,1988,14:44:15,10812.60,69.505882,15.929613,22395.45,195637.61,4.8008,84.54,-6.8164,-128
0:23:36,1989,14:44:17,10822.60,69.506027,15.929271,22360.68,195637.61,4.8164,84.47,-6.8320,-118
0:23:38,1990,14:44:19,10831.80,69.506134,15.928924,22327.48,195637.61,4.8008,84.21,-6.8438,-131
0:23:40,1991,14:44:21,10841.20,69.506226,15.928619,22285.04,187624.42,4.8359,84.13,-6.8555,-120
0:23:42,1992,14:44:23,10849.00,69.506348,15.928357,22249.54,187624.42,4.8164,83.56,-6.8867,-115
0:23:44,1993,14:44:26,10858.80,69.506454,15.927974,22210.60,187624.42,4.8164,83.56,-6.8867,-115
0:23:46,1994,14:44:28,10872.10,69.506584,15.927625,22184.57,187624.42,4.8633,83.24,-6.9141,-118
0:23:49,1995,14:44:30,10884.70,69.506645,15.927336,22144.07,187624.42,4.8438,82.72,-6.9414,-133
0:23:51,1996,14:44:32,10894.30,69.506737,15.927049,22107.42,187624.42,4.8633,82.40,-6.9570,-129
0:23:53,1997,14:44:34,10904.70,69.506851,15.926730,22070.00,195637.61,4.9531,82.32,-6.9844,-127
0:23:55,1998,14:44:36,10915.30,69.506882,15.926430,22029.71,180227.00,5.0313,82.01,-7.0000,-116
0:23:57,1999,14:44:39,10926.50,69.507042,15.925976,21997.38,180227.00,5.0313,81.95,-7.0000,-116
0:23:59,2000,14:44:41,10941.10,69.507149,15.925661,21969.40,173377.80,5.0313,81.95,-7.0000,-134
0:24:2,2001,14:44:43,10951.30,69.507217,15.925362,21931.11,180227.00,5.0508,81.67,-7.0273,-124
0:24:4,2002,14:44:45,10961.30,69.507309,15.925003,21896.49,173377.80,5.0977,81.34,-7.0273,-120
0:24:6,2003,14:44:47,10969.50,69.507339,15.924630,21858.61,167018.09,5.1719,81.50,-7.0430,-127
0:24:8,2004,14:44:49,10977.30,69.507454,15.924311,21820.23,167018.09,5.1875,80.95,-7.0547,-128
0:24:10,2005,14:44:52,10993.70,69.507553,15.923804,21783.52,155570.16,5.1406,80.68,-7.0703,-126
0:24:17,2008,14:44:58,11022.50,69.507759,15.922613,21690.13,155570.16,5.1406,80.09,-7.0977,-118
0:24:19,2009,14:45:0,11033.20,69.507843,15.922384,21656.88,155570.16,5.1250,80.26,-7.0859,-120
0:24:23,2011,14:45:5,11056.40,69.508011,15.921376,21583.97,161096.59,5.3164,80.29,-7.1133,-116
0:24:26,2012,14:45:7,11065.80,69.508064,15.921138,21547.82,161096.59,5.3906,80.02,-7.1680,-119
0:24:28,2013,14:45:9,11074.10,69.508171,15.920732,21511.61,161096.59,5.3906,80.02,-7.1680,-119
0:24:30,2014,14:45:11,11082.80,69.508217,15.920526,21484.55,161096.59,5.4844,79.63,-7.1680,-121
0:24:32,2015,14:45:13,11093.30,69.508331,15.920098,21437.28,167018.09,5.4844,79.39,-7.1836,-127
0:24:34,2016,14:45:16,11111.40,69.508446,15.919590,21407.79,167018.09,5.4375,79.64,-7.1680,-119
0:24:36,2017,14:45:18,11121.20,69.508484,15.919371,21371.68,167018.09,5.5039,79.37,-7.1953,-119
0:24:39,2018,14:45:20,11129.90,69.508591,15.918947,21341.50,173377.80,5.3906,79.41,-7.2109,-118
0:24:41,2019,14:45:22,11138.10,69.508591,15.918631,21309.34,180227.00,5.3906,79.27,-7.1953,-119
0:24:43,2020,14:45:24,11148.20,69.508682,15.918214,21273.87,180227.00,5.3906,79.27,-7.1953,-119
0:24:45,2021,14:45:27,11156.80,69.508766,15.917627,21235.82,173377.80,5.2813,79.27,-7.2266,-118
0:24:47,2022,14:45:29,11172.50,69.508781,15.917361,21198.82,173377.80,5.1875,78.84,-7.2266,-120
0:24:50,2023,14:45:31,11182.00,69.508873,15.916901,21166.35,173377.80,5.1680,78.43,-7.2539,-119
0:24:54,2025,14:45:35,11204.60,69.508957,15.916137,21085.64,173377.80,4.9805,78.04,-7.3086,-116
0:24:56,2026,14:45:37,11215.10,69.508987,15.915783,21054.16,180227.00,4.9805,78.04,-7.3086,-120
0:24:58,2027,14:45:40,11224.90,69.509033,15.915224,21020.58,180227.00,4.9805,78.20,-7.3242,-131
0:25:0,2028,14:45:42,11239.80,69.509094,15.914704,20989.01,187624.42,4.9492,77.59,-7.3672,-116
0:25:5,2030,14:45:46,11263.70,69.509171,15.913899,20917.43,187624.42,4.8867,77.05,-7.3516,-116
0:25:7,2031,14:45:48,11271.70,69.509178,15.913511,20876.50,187624.42,4.8555,77.62,-7.3789,-121
0:25:9,2032,14:45:50,11281.70,69.509216,15.913097,20843.66,195637.61,4.8242,77.67,-7.3945,-119
0:25:11,2033,14:45:53,11296.20,69.509293,15.912382,20810.72,195637.61,4.8242,77.67,-7.3945,-119
0:25:14,2034,14:45:55,11306.30,69.509315,15.912185,20773.54,195637.61,4.8555,77.13,-7.4063,-120
